set_num,set_name,year,theme_id,num_parts,rebrickable_theme,theme,themeGroup,subtheme,category,agerange_min
0003977811-1,Ninjago: Book of Adventures,2022,761,1,Activity Books with LEGO Parts,,,,,
001-1,Gears,1965,756,43,Samsonite,,,,,
0011-2,Town Mini-Figures,1979,67,12,Classic Town,,,,,
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0,Lion Knights,Castle,Historical,Bonus/Value Pack,Collection,
0012-1,Space Mini-Figures,1979,143,12,Supplemental,,,,,
0013-1,Space Mini-Figures,1979,143,12,Supplemental,,,,,
0014-1,Space Mini-Figures,1982,143,2,Supplemental,,,,,
0015-1,Space Mini-Figures,1979,143,18,Supplemental,,,,,
0016-1,Castle Mini Figures,1979,189,15,Classic Castle,,,,,
002-1,4.5V Samsonite Gears Motor Set,1965,756,3,Samsonite,,,,,
003-1,Master Mechanic Set,1966,756,403,Samsonite,,,,,
004-1,Master Builder Set,1966,756,817,Samsonite,,,,,
005-1,Basic Building Set in Cardboard,1965,365,35,System,,,,,
005-2,Discovery Set,1967,756,0,Samsonite,,,,,
00-6,Special Offer,1985,67,0,Classic Town,,,,,
010-1,Basic Building Set in Cardboard,1965,365,57,System,,,,,
010-2,Pre-School Set,1973,505,18,Basic Set,Duplo,Pre-school,,Normal,
010-3,Basic Building Set,1968,365,77,System,,,,,
010423-1,The Majestic Horse,2023,721,492,Icons,Miscellaneous,Miscellaneous,,Normal,18.0
01-1,Chain Links,1980,453,25,Technic,,,,,
011-1,Basic Building Set,1968,365,145,System,,,,,
01-2,Bulldozer Chain Links,1982,453,50,Technic,,,,,
020-1,Basic Building Set in Cardboard,1965,365,94,System,,,,,
02-1,Extra Large Tires & Hubs,1982,453,4,Technic,,,,,
021-1,Wheel Set,1966,756,183,Samsonite,,,,,
02-2,Digger Bucket Assembly,1980,443,3,Service Packs,,,,,
022-1,Basic Building Set,1968,365,110,System,,,,,
022-2,Doll Furniture,1965,756,0,Samsonite,,,,,
0241187567-1,Ninjago: Build Your Own Adventure,2015,761,74,Activity Books with LEGO Parts,,,,,
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,761,70,Activity Books with LEGO Parts,,,,,
028-1,Nursery Furniture,1979,652,7,Playhouse,,,,,
030-2,Building Set,1973,505,29,Basic Set,Duplo,Pre-school,,Normal,
03093-1,The Race to Build It Board Game,1999,674,77,Early Creator,,,,,
03-1,Doors and Fences,1980,443,10,Service Packs,,,,,
032-1,Living Room,1979,652,14,Playhouse,,,,,
033-1,Farm Animals,1979,632,21,Town,,,,,
033-2,Basic Building Set,1968,365,177,System,,,,,
04-1,Propellers and Wheels,1980,443,13,Service Packs,,,,,
041-1,Pre-School Beginners Set,1964,369,24,Jumbo Bricks,,,,,
041-2,Playhouse,1979,652,1,Playhouse,,,,,
042-1,Jumbo Brick Pull Toy,1966,369,9,Jumbo Bricks,,,,,
044-1,Basic Building Set,1968,365,225,System,,,,,
044-2,Jumbo Bricks,1969,369,30,Jumbo Bricks,,,,,
045-1,Farm,1979,632,66,Town,,,,,
045-2,Assorted Clear Bricks & Plates,1969,756,37,Samsonite,,,,,
047-1,Gates and Fences,1969,756,15,Samsonite,,,,,
049-1,Windows / Doors & Trees / Bushes,1969,756,27,Samsonite,,,,,
050-2,Lighting Device Pack,1969,756,4,Samsonite,,,,,
05-1,Hinges,1980,443,3,Service Packs,,,,,
051-1,Assorted Basic Bricks - Red,1966,756,50,Samsonite,,,,,
052-1,Assorted Basic Bricks - White,1966,756,50,Samsonite,,,,,
053-1,Assorted Basic Bricks - Blue,1966,756,50,Samsonite,,,,,
054-1,Assorted Basic Bricks - Yellow,1966,756,50,Samsonite,,,,,
055-1,Trees & Bushes,1966,756,25,Samsonite,,,,,
055-2,Basic Building Set,1968,365,256,System,,,,,
057-1,Large Wheels,1966,756,17,Samsonite,,,,,
058-1,Small Wheels,1966,756,26,Samsonite,,,,,
060-1,Assorted White Plates,1966,756,15,Samsonite,,,,,
060-3,Jumbo Brick School Set,1968,369,60,Jumbo Bricks,,,,,
06-1,Motor Wires,1980,453,6,Technic,,,,,
061-1,Five Large Base Plates - Green,1966,756,5,Samsonite,,,,,
062-1,Five Large Base Plates - White,1966,756,5,Samsonite,,,,,
063-1,Five Large Base Plates - Blue,1966,756,5,Samsonite,,,,,
063-2,Ducks,1978,505,18,Basic Set,,,,,
065-1,Two Garage Door Kits,1969,756,6,Samsonite,,,,,
066-1,Basic Building Set,1968,365,407,System,,,,,
066-2,Governor Set,1968,756,407,Samsonite,,,,,
07-1,Battery Box,1980,453,1,Technic,,,,,
071-1,Block Box,1979,505,24,Basic Set,,,,,
074-1,Pre-School Set,1976,505,20,Basic Set,,,,,
075-1,Pre-School Set,1975,505,17,Basic Set,,,,,
0751359483-1,The Ultimate LEGO Book,1999,758,0,Non-fiction Books,,,,,
0756668530-1,Atlantis: Brickmaster,2010,761,157,Activity Books with LEGO Parts,,,,,
0756672805-1,Pirates: Brickmaster,2009,761,162,Activity Books with LEGO Parts,,,,,
0756682762-1,Ninjago: Brickmaster,2011,761,154,Activity Books with LEGO Parts,,,,,
0756692571-1,Harry Potter: Characters of the Magical World,2012,758,4,Non-fiction Books,,,,,
077-1,Pre-School Set,1975,505,21,Basic Set,Duplo,Pre-school,,Normal,
078-1,Roadway Base Plate,1970,756,1,Samsonite,Samsonite,Vintage,Supplemental,Normal,
080-1,Basic Building Set with Train,1967,365,712,System,,,,,
080-2,Ambassador Set,1967,756,712,Samsonite,,,,,
080-3,Police Station,1976,505,24,Basic Set,PreSchool,Pre-school,,Normal,
08-1,4.5V Replacement Motor,1982,453,1,Technic,,,,,
082-1,Legoville,1976,505,63,Basic Set,PreSchool,Pre-school,,Normal,
085-1,Racer,1977,505,4,Basic Set,,,,,
086-1,Tub Boat,1978,632,3,Town,,,,,
0878119001641-1,Star Wars ZipBin Storage Toy Case Battle Bridge,2012,740,0,Storage,,,,,
088-1,Super Set,1969,465,615,Universal Building Set,,,,,
089154-1,Belville Jigsaw Puzzle,2006,741,0,Tabletop Games and Puzzles,,,,,
0906946506-1,Fabuland: Lionel Lion's New Car,1984,759,0,Story Books,,,,,
09-1,Trees & Flowers,1981,443,22,Service Packs,,,,,
10000-1,Guarded Inn,2001,199,256,Lion Knights,Castle,Historical,Lion Knights,Normal,
10000549412-1,Jurassic World - PC DVD,2015,742,0,Video Games and Accessories,,,,,
1000-1,Mosaic Set,1985,516,202,Duplo and Explore,Dacta,Educational,,Normal,
10001-1,Metroliner,2001,233,787,Train,Trains,Modern day,9V,Normal,
10002-1,Railroad Club Car,2001,233,293,Train,Trains,Modern day,9V,Normal,
1000229927-1,Harry Potter: Years 5-7 - PS Vita,2012,742,0,Video Games and Accessories,,,,,
10003-1,1 x 2 Sand Red Bricks,2001,254,100,Bulk Bricks,Bulk Bricks,Basic,,Normal,
1000368666-1,Batman the Videogame - PSP,2008,742,0,Video Games and Accessories,,,,,
10004-1,2 x 2 Sand Red Bricks,2001,254,100,Bulk Bricks,Bulk Bricks,Basic,,Normal,
1000430096-8,Marvel Super Heroes - PS4,2013,742,0,Video Games and Accessories,,,,,
10005-1,2 x 4 Sand Red Bricks,2001,254,50,Bulk Bricks,Bulk Bricks,Basic,,Normal,
1000565140-1,Jurassic World - Xbox One,2015,742,0,Video Games and Accessories,,,,,
1000565190-1,Jurassic World - PS Vita‎,2015,742,0,Video Games and Accessories,,,,,
1000565740-1,Marvel Avengers - Xbox One,2016,742,0,Video Games and Accessories,,,,,
1000565742-1,Marvel Avengers - PS4,2016,742,0,Video Games and Accessories,,,,,
1000565765-1,Marvel Avengers - PS Vita‎,2016,742,0,Video Games and Accessories,,,,,
1000565897-5,Marvel Super Heroes - Xbox One,2013,742,0,Video Games and Accessories,,,,,
1000577871-1,Marvel Avengers - PC,2016,742,0,Video Games and Accessories,,,,,
1000591519-1,Star Wars: The Force Awakens - 3DS,2016,742,0,Video Games and Accessories,,,,,
1000591524-1,Star Wars: The Force Awakens - PS Vita,2016,742,0,Video Games and Accessories,,,,,
1000598000-1,Star Wars: The Force Awakens Deluxe Edition - PS3,2016,742,0,Video Games and Accessories,,,,,
1000600263-1,Star Wars: The Force Awakens - PS3,2016,742,0,Video Games and Accessories,,,,,
10006-1,1 x 6 Sand Red Bricks,2001,254,50,Bulk Bricks,Bulk Bricks,Basic,,Normal,
1000629598-1,Harry Potter Collection - PS4,2016,742,0,Video Games and Accessories,,,,,
1000643461-1,Marvel Super Heroes 2 - Xbox One,2017,742,0,Video Games and Accessories,,,,,
1000648795-1,Marvel Super Heroes 2 - PS4,2017,742,0,Video Games and Accessories,,,,,
1000692713-1,Marvel Super Heroes 2 - Nintendo Switch,2017,742,0,Video Games and Accessories,,,,,
1000704831-2,The Incredibles - Nintendo Switch,2019,742,0,Video Games and Accessories,,,,,
1000704832-13,The Incredibles - PS4,2019,742,0,Video Games and Accessories,,,,,
1000709804-1,DC Super-Villains - Nintendo Switch,2018,742,0,Video Games and Accessories,,,,,
1000709806-1,DC Super-Villains - PS4,2018,742,0,Video Games and Accessories,,,,,
1000709807-1,The Incredibles - Xbox One,2019,742,0,Video Games and Accessories,,,,,
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25,Bulk Bricks,Bulk Bricks,Basic,,Normal,
1000724950-1,Harry Potter Collection - Xbox One,2016,742,0,Video Games and Accessories,,,,,
1000724951-1,Harry Potter Collection - Nintendo Switch,2016,742,0,Video Games and Accessories,,,,,
1000739974-1,The LEGO Movie 2 Videogame - Nintendo Switch,2019,742,0,Video Games and Accessories,,,,,
1000739975-1,The LEGO Movie 2 Videogame - PS4,2019,742,0,Video Games and Accessories,,,,,
1000739976-1,The LEGO Movie 2 Videogame - Xbox One,2019,742,0,Video Games and Accessories,,,,,
1000746530-1,Jurassic World - Nintendo Switch,2015,742,0,Video Games and Accessories,,,,,
10008-1,2 x 4 Roof Tile Sand Red,2001,254,50,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10009-1,Assorted Blue Bricks,2001,254,62,Bulk Bricks,Bulk Bricks,Basic,,Normal,
100-1,4.5V Motor with Wheels (Small Version),1966,235,15,4.5V,,,,,
10010-1,Assorted Yellow Bricks,2003,254,62,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10011-1,Assorted Blue Plates,2001,254,42,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10012-1,Assorted Yellow Plates,2001,254,42,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10013-1,Open Freight Wagon,2001,236,121,9V,Trains,Modern day,9V,Normal,
10014-1,Caboose,2001,236,170,9V,Trains,Modern day,9V,Normal,
10015-1,Passenger Wagon,2001,236,194,9V,Trains,Modern day,9V,Normal,
10016-1,Tanker,2001,236,128,9V,Trains,Modern day,9V,Normal,
10017-1,Hopper Wagon,2001,236,228,9V,Trains,Modern day,9V,Normal,
10018-1,Darth Maul,2001,171,1868,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,14.0
10019-1,Rebel Blockade Runner,2001,171,1748,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,14.0
100-2,4.5V Motor with Wheels (Large Version),1966,235,27,4.5V,,,,,
10020-1,Santa Fe Super Chief,2002,236,435,9V,Trains,Modern day,9V,Normal,
10020-2,Santa Fe Super Chief - Limited Edition,2002,236,441,9V,Trains,Modern day,9V,Normal,
10021-1,U.S.S. Constellation,2003,404,975,Hobby Sets,Hobby Set,Vintage,,Normal,
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,236,411,9V,Trains,Modern day,9V,Normal,
10023-1,Master Builder Set,2002,324,111,Bionicle,Bionicle,Constraction,Accessories,Normal,
10024-1,Red Baron,2002,673,670,Creator Expert,Advanced models,Model making,Aircraft,Normal,12.0
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,236,326,9V,Trains,Modern day,9V,Normal,
10026-1,Naboo Starfighter,2002,171,188,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,9.0
10027-1,Train Engine Shed,2003,105,670,World City,World City,Modern day,Trains,Normal,
10029-1,Lunar Lander,2003,387,469,Discovery,Discovery,Modern day,,Normal,
100291707-1,Ninjago Lloyd Backpack,2018,777,0,"Bags, Totes, & Luggage",,,,,
100291708-1,Nexo Knights Backpack,2018,777,0,"Bags, Totes, & Luggage",,,,,
10030-1,Imperial Star Destroyer,2002,171,3116,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,16.0
100301705-1,Friends You're the Star Junior Backpack,2018,777,0,"Bags, Totes, & Luggage",,,,,
100301837-1,Friends Backpack,2021,777,0,"Bags, Totes, & Luggage",,,,,
100302101-1,Ninjago Green Lloyd Junior Backpack,2021,777,0,"Bags, Totes, & Luggage",,,,,
100302203-1,Ninjago Prime Empire Junior Backpack,2022,777,0,"Bags, Totes, & Luggage",,,,,
100302304-1,Mermaid Junior Backpack,2023,777,0,"Bags, Totes, & Luggage",,,,,
100302501-1,Ninjago Elemental Master Of Energy Junior Backpack,2025,777,0,"Bags, Totes, & Luggage",,,,,
100302502-1,Ninjago Dragon Energy Junior Backpack,2025,777,0,"Bags, Totes, & Luggage",,,,,
100302505-1,City Space Explorer Junior Backpack,2025,777,0,"Bags, Totes, & Luggage",,,,,
100302506-1,Flowers Junior Backpack,2025,777,0,"Bags, Totes, & Luggage",,,,,
100311708-1,Nexo Knights Shoulder Bag,2018,777,0,"Bags, Totes, & Luggage",,,,,
100311837-1,Friends Juice Bar Shoulder Bag,2020,777,0,"Bags, Totes, & Luggage",,,,,
100321710-1,Friend Pencil Case,2017,739,0,Stationery and Office Supplies,,,,,
100341707-1,Ninjago Lloyd Gym Bag,2018,777,0,"Bags, Totes, & Luggage",,,,,
100341726-1,Star Wars The Dark Side Darth Vader Gym Bag,2018,777,0,"Bags, Totes, & Luggage",,,,,
100341829-1,Star Wars Stormtrooper Gym Bag,2018,777,0,"Bags, Totes, & Luggage",,,,,
100342004-1,Friends Pink Gym Bag,2020,777,0,"Bags, Totes, & Luggage",,,,,
100342008-1,Ninjago Dragon Master Gym Bag,2020,777,0,"Bags, Totes, & Luggage",,,,,
100342101-1,Ninjago Green Lloyd Gym Bag,2021,777,0,"Bags, Totes, & Luggage",,,,,
100342108-1,Purple Gym Bag,2021,777,0,"Bags, Totes, & Luggage",,,,,
100342208-1,Navy Gym Bag,2022,777,0,"Bags, Totes, & Luggage",,,,,
100342501-1,Ninjago Elemental Master Of Energy Gym Bag,2025,777,0,"Bags, Totes, & Luggage",,,,,
100342502-1,Ninjago Dragon Energy Gym Bag,2025,777,0,"Bags, Totes, & Luggage",,,,,
100342506-1,Flowers Gym Bag,2025,777,0,"Bags, Totes, & Luggage",,,,,
100342511-1,Bricks Gym Bag,2025,777,0,"Bags, Totes, & Luggage",,,,,
100351702-1,Ninjago Kai Backpack Trolley,2017,777,0,"Bags, Totes, & Luggage",,,,,
100351707-1,Ninjago Lloyd Backpack Trolley,2018,777,0,"Bags, Totes, & Luggage",,,,,
100351708-1,Nexo Knights Backpack Trolley,2018,777,0,"Bags, Totes, & Luggage",,,,,
100351710-1,Friends Funpark Backpack Trolley,2018,777,0,"Bags, Totes, & Luggage",,,,,
10036-1,Pizza To Go,2002,50,151,Town,Town,Modern day,Shops and Services,Normal,
10037-1,Breezeway Cafe,2002,50,195,Town,Town,Modern day,Shops and Services,Normal,
10039-1,Black Falcon's Fortress,2002,187,430,Black Falcons,Castle,Historical,Black Falcons,Normal,
10040-1,Black Seas Barracuda,2002,148,916,Pirates I,Pirates,Historical,,Normal,
10041-1,Main Street,2003,50,640,Town,Town,Modern day,Shops and Services,Normal,8.0
10042-1,American Flag,2003,206,35,Seasonal,Bulk Bricks,Basic,Seasonal,Normal,
10043-1,2x2 Electrical Plate,2002,254,1,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10044-1,Windows and Doors,2002,254,44,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10045-1,Pillars and Beams,2002,254,13,Bulk Bricks,Bulk Bricks,Basic,,Normal,
100451835-1,City Police Backpack Trolley,2018,777,0,"Bags, Totes, & Luggage",,,,,
100451910-1,Ninjago Urban Backpack Trolley,2019,777,0,"Bags, Totes, & Luggage",,,,,
100451914-1,Friends Girls Rock Backpack Trolley,2019,777,0,"Bags, Totes, & Luggage",,,,,
100452005-1,Friends Hearts Backpack Trolley,2020,777,0,"Bags, Totes, & Luggage",,,,,
10046-1,Brown Tiles,2002,254,100,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10047-1,Light Gray Arches,2002,254,36,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10048-1,Small Wheels and Axles,2002,254,61,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10049-1,Large Wheels and Axles,2002,254,31,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10050-1,Gray Fences,2002,254,34,Bulk Bricks,Bulk Bricks,Basic,,Normal,
100501829-1,Star Wars Stormtrooper Pencil Case,2018,739,0,Stationery and Office Supplies,,,,,
100501908-1,Ninjago Lloyd Energy Pencil Case,2019,739,0,Stationery and Office Supplies,,,,,
100502101-1,Ninjago Green Lloyd Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
100502108-1,Purple Pencil Case,2021,739,0,Stationery and Office Supplies,,,,,
100502206-1,Parrot Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
100502207-1,Violet Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
100502208-1,Navy Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
100502507-1,Ninjago Elemental Master Of Energy Pencil Case,2025,739,0,Stationery and Office Supplies,,,,,
10051-1,Transparent Bricks,2002,254,50,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10052-1,Intelligent Locomotive (Explore),2003,634,7,Trains,Explore,Pre-school,,Normal,
100522009-1,Ninjago Spinjitzu Jay Pencil Case,2020,739,0,Stationery and Office Supplies,,,,,
100522101-1,Ninjago Green Lloyd Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
100522108-1,Purple Pencil Case,2021,739,0,Stationery and Office Supplies,,,,,
100522110-1,Navy Pencil Case,2023,739,0,Stationery and Office Supplies,,,,,
100522501-1,Ninjago Elemental Master Of Energy Pencil Case,2025,739,0,Stationery and Office Supplies,,,,,
100522511-1,Bricks Pencil Case,2025,739,0,Stationery and Office Supplies,,,,,
10053-1,Black Slopes 33,2003,254,44,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10056-1,White Plates 2 x n,2002,254,56,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10057-1,Black Plates 2 x n,2002,254,56,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10058-1,Red Plates 2 x n,2002,254,56,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10059-1,Dark Green Plates 2 x n,2002,254,56,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10060-1,Light Gray Plates 2 x n,2002,254,56,Bulk Bricks,Bulk Bricks,Basic,,Normal,
100603-1,Duplo Bib,2022,501,0,Gear,,,,,
10061-1,Black Plates 1 x n,2002,254,84,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10062-1,Red Plates 1 x n,2002,254,84,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10063-1,Green Plates 1 x n,2002,254,84,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10064-1,Light Gray Plates 1 x n,2002,254,84,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10065-1,White Plates 1 x n,2002,254,84,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10066-1,Castle Accessories,2002,254,41,Bulk Bricks,Bulk Bricks,Basic,Castle,Normal,
10067-1,Mini-Fig Headgear,2002,254,53,Bulk Bricks,Bulk Bricks,Basic,,Normal,
100672507-1,Ninjago Elemental Master Of Energy School Bag Trolley,2025,777,0,"Bags, Totes, & Luggage",,,,,
10068-1,Santa Claus,2002,227,39,Christmas,Seasonal,Miscellaneous,Christmas,Normal,
100682507-1,Ninjago Elemental Master Of Energy School Bag,2025,777,0,"Bags, Totes, & Luggage",,,,,
10069-1,Christmas Tree,2002,227,33,Christmas,Seasonal,Miscellaneous,Christmas,Normal,
10070-1,Reindeer,2002,227,26,Christmas,Seasonal,Miscellaneous,Christmas,Normal,
10071-1,Mr. Bunny,2003,229,25,Easter,Seasonal,Miscellaneous,Easter,Normal,
10072-1,TECHNIC Beams,2003,254,56,Bulk Bricks,Bulk Bricks,Basic,Technic,Normal,
100722101-1,Ninjago Green Lloyd Backpack,2021,777,0,"Bags, Totes, & Luggage",,,,,
100722106-1,Stars Backpack,2021,777,0,"Bags, Totes, & Luggage",,,,,
100722108-1,Purple Backpack,2021,777,0,"Bags, Totes, & Luggage",,,,,
100722110-1,Navy Backpack,2021,777,0,"Bags, Totes, & Luggage",,,,,
10073-1,Bushes,2003,254,130,Bulk Bricks,Bulk Bricks,Basic,Technic,Normal,
10074-1,Cross Axles,2003,254,68,Bulk Bricks,Bulk Bricks,Basic,Technic,Normal,
10075-1,Spider-Man Action Pack,2002,706,25,Spider-Man,Studios,Modern day,Spider-Man,Normal,
10076-1,TECHNIC Gear Wheels,2002,254,39,Bulk Bricks,Bulk Bricks,Basic,Technic,Normal,7.0
10077-1,TECHNIC Motor,2003,254,55,Bulk Bricks,Bulk Bricks,Basic,Technic,Normal,
10078-1,Train Connection Wire,2003,254,1,Bulk Bricks,Trains,Modern day,9V,Normal,
10079-1,Snowman,2003,227,42,Christmas,Seasonal,Miscellaneous,Christmas,Normal,
10080-1,Angel,2003,227,33,Christmas,Seasonal,Miscellaneous,Christmas,Normal,
10081-1,Birthday Pack Heart,2004,500,70,Clikits,Clikits,Girls,,Normal,
100812101-1,Ninjago Green Lloyd Backpack Trolley,2021,777,0,"Bags, Totes, & Luggage",,,,,
100812102-1,Ninjago Golden Lloyd Backpack Trolley,2021,777,0,"Bags, Totes, & Luggage",,,,,
10082-1,Birthday Pack Daisy,2004,500,70,Clikits,Clikits,Girls,,Normal,
10083-1,Birthday Pack Star,2004,500,70,Clikits,Clikits,Girls,,Normal,
100871-1,90 Years of Play Metal Key Chain,2022,503,0,Key Chain,Gear,Miscellaneous,Key Chains,Gear,
10090-1,Turkey,2003,231,54,Thanksgiving,Seasonal,Miscellaneous,Thanksgiving,Normal,
100STORES-1,100 LEGO Stores North America,2019,408,5,LEGO Brand Store,,,,,
10-1,Universal Building Set,1976,465,129,Universal Building Set,,,,,
1010205-1,Ninjago Kai Lunch Bag,2021,733,0,Houseware,,,,,
1010206-1,Ninjago Lloyd Lunch Bag,2021,733,0,Houseware,,,,,
1010207-1,Ninjago Cole Lunch Bag,2021,733,0,Houseware,,,,,
1010208-1,Ninjago Jay Lunch Bag,2021,733,0,Houseware,,,,,
101032211-1,City Citizens Wallet,2022,501,0,Gear,,,,,
101032303-1,Ninjago Into the Unknown Wallet,2022,501,0,Gear,,,,,
101032401-1,Ninjago Dragon Power Wallet,2024,501,0,Gear,,,,,
101032403-1,Ninjago Family Wallet,2024,501,0,Gear,,,,,
101032405-1,City Go Big Wallet,2024,501,0,Gear,,,,,
101032501-1,Ninjago Elemental Master Of Energy Wallet,2025,501,0,Gear,,,,,
101032502-1,Ninjago Dragon Energy Wallet,2025,501,0,Gear,,,,,
101032505-1,City Space Explorer Wallet,2025,501,0,Gear,,,,,
101032506-1,Flowers Wallet,2025,501,0,Gear,,,,,
101032511-1,Bricks Wallet,2025,501,0,Gear,,,,,
1010405-1,Ninjago Kai Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
1010408-1,Ninjago Jay Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
101042213-1,Friends Hearts Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
101042303-1,Ninjago Into the Unknown Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
101042313-1,City Race Pencil Case,2022,739,0,Stationery and Office Supplies,,,,,
101052211-1,City Citizens Gym Bag,2022,777,0,"Bags, Totes, & Luggage",,,,,
10106-1,Snowflake,2006,227,107,Christmas,Seasonal,Miscellaneous,Christmas,Normal,
101-1,4.5V Battery Case,1969,235,1,4.5V,,,,,
1011-1,Number/Symbol Blocks,1976,516,100,Duplo and Explore,Dacta,Educational,,Normal,
10111-1,Foliferous Tree,2001,254,10,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10112-1,Bush,2001,254,25,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10113-1,Cypress Trees,2001,254,5,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10115-1,Jumper Bricks,2001,254,80,Bulk Bricks,Bulk Bricks,Basic,,Normal,4.0
10116-1,Accessories Heart,2004,500,50,Clikits,Clikits,Girls,,Normal,
10117-1,Accessories Daisy,2004,500,50,Clikits,Clikits,Girls,,Normal,
10118-1,Accessories Star,2004,500,50,Clikits,Clikits,Girls,,Normal,
101-2,Imagination Set 1,1971,756,298,Samsonite,Samsonite,Vintage,Basic set,Normal,
1012-1,Mosaic Set,1985,516,34,Duplo and Explore,Dacta,Educational,,Normal,
10121-1,NBA Basketball Teams,2003,459,20,Basketball,Sports,Modern day,Basketball,Normal,
10123-1,Cloud City,2003,171,707,Ultimate Collector Series,Star Wars,Licensed,Episode V,Normal,
10124-1,Wright Flyer,2003,673,663,Creator Expert,Advanced models,Model making,Aircraft,Normal,12.0
10127-1,NHL Action Set with Stickers,2003,461,59,Hockey,Sports,Modern day,Hockey,Normal,
10128-1,Train Level Crossing,2003,105,327,World City,World City,Modern day,Trains,Normal,
10128-2,Train Level Crossing,2005,105,327,World City,,,,,
10129-1,Rebel Snowspeeder,2003,171,1457,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,14.0
101-3,4.5V Battery Case,1966,235,1,4.5V,,,,,
1013-1,Numbers (6 Symbols),1985,516,0,Duplo and Explore,Dacta,Educational,,Normal,
10131-1,TIE Fighter Collection,2004,171,685,Ultimate Collector Series,Star Wars,Licensed,Legends,Normal,8.0
10132-1,Motorized Hogwarts Express,2004,246,713,Harry Potter,Harry Potter,Licensed,Prisoner of Azkaban,Normal,
10133-1,Burlington Northern Santa Fe Locomotive,2004,236,409,9V,Trains,Modern day,9V,Normal,8.0
10134-1,Y-wing Attack Starfighter,2004,171,1490,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,14.0
10135-1,Holiday Decoration Kit,2004,500,282,Clikits,Clikits,Girls,Seasonal,Normal,
1014-1,Universal Joints,1982,453,16,Technic,,,,,
1014-2,Mosaic Set - Domestic Animals,1985,516,80,Duplo and Explore,Dacta,Educational,,Normal,
10143-1,Death Star II,2005,171,3461,Ultimate Collector Series,Star Wars,Licensed,Ultimate Collector Series,Normal,16.0
10144-1,Sandcrawler,2005,171,1681,Ultimate Collector Series,Star Wars,Licensed,Episode IV,Normal,12.0
10145-1,Assorted Light Gray Bricks,2004,254,62,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10146-1,Assorted Dark Gray Bricks,2004,254,62,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10147-1,Assorted Brown Bricks,2004,254,62,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10148-1,Assorted Light Gray Plates,2004,254,42,Bulk Bricks,Bulk Bricks,Basic,,Normal,
10149-1,Assorted Dark Gray Plates,2004,254,42,Bulk Bricks,Bulk Bricks,Basic,,Normal,
